course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
"the true ' secret sauce  for stock market success""",Pago,200,23,2,30,all levels,3.0,2017-06-11T16:01:03Z,business finance
bookkeeping to command senior bookkeeping wages,Pago,55,683,16,58,all levels,4.5,2015-03-06T01:31:54Z,business finance
take your career to the next level with mba finance,Pago,50,618,10,19,all levels,2.0,2015-10-29T23:18:23Z,business finance
how to read financial statements:  build financial literacy,Pago,25,188,10,20,beginner level,1.5,2014-12-19T18:23:17Z,business finance
accounting books of accounts (college level),Pago,20,911,2,18,all levels,1.5,2015-06-05T19:01:45Z,business finance
forex trading profitably,Pago,20,512,13,15,all levels,0.6666666666666666,2014-11-04T12:37:45Z,business finance
learn how to trade pump and dumps 5 setups well explained,Pago,50,769,10,18,all levels,2.0,2016-03-14T17:17:00Z,business finance
bitcoin trading 101,Pago,95,302,6,19,all levels,2.0,2015-01-29T08:03:35Z,business finance
visualizing data,Pago,40,149,2,63,intermediate level,6.5,2016-07-22T13:09:03Z,business finance
ifrs financial reporting,Pago,55,72,9,15,all levels,3.5,2014-10-24T16:55:03Z,business finance
forex trading system: correlation eur/gbp vs gbp/usd,Pago,50,33,4,26,intermediate level,1.0,2016-12-14T15:49:54Z,business finance
sap crystal reports:masterdetailcrosstabsubreports,Pago,50,13,1,9,all levels,2.0,2016-12-26T17:39:05Z,business finance
learn financial accounting different,Pago,20,79,1,58,all levels,6.0,2015-05-24T21:14:23Z,business finance
cfa level i workshop 4: fixed income and equity,Pago,20,139,3,6,all levels,1.5,2013-08-12T13:51:50Z,business finance
ias37  provisions contingents liabilities & assets,No Pago,0,2247,53,29,all levels,4.0,2014-06-30T08:58:16Z,business finance
what you should know to become a trader,Pago,125,17,2,14,all levels,1.5,2016-09-29T05:13:00Z,business finance
financial reporting a comprehensive study,Pago,50,45,1,72,all levels,8.0,2017-02-09T21:58:02Z,business finance
an abundance mindset: how to craft yours,Pago,50,33,4,40,beginner level,4.5,2016-01-22T21:45:33Z,business finance
forex trading profit 183%pa : trend is our friendalgotrend,Pago,120,54,11,12,all levels,0.6,2016-12-05T17:01:51Z,business finance
how to build a massive retirement plan from scratch!,Pago,200,1498,30,23,beginner level,2.0,2015-06-22T23:04:23Z,business finance
financial modeling: build a forward looking financial model,Pago,20,2317,44,22,all levels,2.0,2015-05-05T17:47:11Z,business finance
trading for beginners  entry level,No Pago,0,5077,256,16,beginner level,1.5,2016-10-03T22:21:54Z,business finance
bitcoin or how i learned to stop worrying and love crypto,No Pago,0,65576,936,24,all levels,8.0,2013-04-20T02:25:22Z,business finance
trend following stocks: a complete trading system,Pago,95,1202,76,64,expert level,3.5,2015-03-23T17:03:31Z,business finance
forex basics,No Pago,0,22344,712,26,beginner level,3.5,2013-10-16T17:40:23Z,business finance
accounting bank reconciliation statement (college level),Pago,20,2189,4,16,all levels,1.5,2015-05-25T19:46:32Z,business finance
bitcoin  ethereum: trading watch me manage my own account!,Pago,165,431,58,22,all levels,2.5,2016-11-12T04:22:59Z,business finance
forex : learn technical analysis,Pago,200,1199,37,79,all levels,18.0,2016-01-01T19:04:07Z,business finance
fasttrack to stock trading strategies,Pago,25,5685,5,12,all levels,3.5,2014-08-05T18:24:18Z,business finance
algorithmic futures trading  investing with no experience,Pago,195,1512,23,19,all levels,1.5,2015-09-14T18:24:03Z,business finance
succeed in forex even if you don't know where to start!,Pago,200,1806,38,211,beginner level,19.5,2015-06-19T22:16:52Z,business finance
hedge fund accounting and valuation,Pago,20,668,10,11,all levels,0.5666666666666667,2016-04-28T16:39:21Z,business finance
binary forex stock and bitcoin trading strategy,No Pago,0,3757,70,14,all levels,0.6166666666666667,2015-05-28T22:38:25Z,business finance
2 easy steps to investment and avoiding traps,Pago,20,828,1,20,all levels,1.0,2015-04-27T23:18:59Z,business finance
ethereum course for investors,Pago,40,111,20,11,all levels,1.0,2016-06-09T04:21:43Z,business finance
using xero for your bookkeeping needs  do beautiful business,Pago,95,39,6,28,beginner level,1.0,2017-02-27T16:33:33Z,business finance
capital market immersion,Pago,195,613,33,142,all levels,24.5,2014-02-25T15:43:53Z,business finance
forex trading :rsi indicatora secret weapon,Pago,95,57,13,14,all levels,1.5,2016-12-21T14:44:15Z,business finance
trading mindset and three steps to profitable trading,Pago,20,246,8,24,beginner level,1.5,2015-11-02T20:13:05Z,business finance
professional bookkeeping & accounting 4:trial balance & more,Pago,35,83,8,21,all levels,1.0,2016-03-12T05:06:29Z,business finance
internal controls  design implementation and monitoring,Pago,195,62,6,27,beginner level,6.5,2017-03-20T18:42:56Z,business finance
forex online live trading system (special offer),Pago,200,31,8,34,all levels,5.5,2016-11-07T14:51:41Z,business finance
winning options trading system,Pago,105,367,11,24,all levels,7.5,2013-10-09T21:12:00Z,business finance
learn the abc's of investing and understanding true financial value,Pago,20,3,0,8,all levels,1.5,2015-06-01T22:47:06Z,business finance
how to invest in russian equity market,Pago,30,3,0,12,intermediate level,1.5,2015-09-15T18:28:43Z,business finance
handle difficult questions the bank manager will ask you,Pago,20,2,0,12,all levels,1.0,2015-09-04T20:03:24Z,business finance
credit control procedures,Pago,20,3,0,6,all levels,0.5666666666666667,2014-09-22T03:58:46Z,business finance
fmt: forex market trader certificate,Pago,20,1,0,27,all levels,2.0,2016-03-17T17:43:59Z,business finance
six stage negotiation,Pago,30,1,0,21,all levels,2.5,2016-05-11T17:08:03Z,business finance
financial reporting  fundamentals/basics,Pago,20,2,0,28,beginner level,2.5,2014-11-08T02:53:57Z,business finance
decide whether to invest in a business ,Pago,20,1,0,43,beginner level,1.0,2016-02-15T17:33:49Z,business finance
uk tax returns with hmrc,Pago,40,2,0,11,beginner level,1.0,2016-04-05T15:48:32Z,business finance
financial market environment & investment strategies,Pago,105,1,0,25,all levels,1.5,2017-06-20T02:29:09Z,business finance
how to obtain a business loan,Pago,20,1,1,12,all levels,0.5666666666666667,2015-11-17T19:17:56Z,business finance
evolution and features of etfs,Pago,100,0,0,10,all levels,0.7166666666666667,2017-04-03T22:17:10Z,business finance
cost accounting operating costing(professional course level),Pago,20,731,2,8,all levels,1.0,2015-04-24T00:21:44Z,business finance
trade rsi breakout strategy: great risk/reward ratio (forex),Pago,200,66,12,19,all levels,2.0,2017-05-01T19:56:30Z,business finance
day trading strategy for all level with 72% success rate,Pago,95,51,9,15,all levels,0.5333333333333333,2017-03-02T16:25:56Z,business finance
accounting finance and banking  a comprehensive study,Pago,180,507,36,395,all levels,33.0,2015-03-26T18:01:39Z,business finance
advanced technical analysis part1!,Pago,100,9,1,19,intermediate level,3.0,2017-06-27T22:00:27Z,business finance
advanced financial management for ca / cs / cfa /cpa exams,Pago,150,375,15,194,all levels,24.5,2015-11-03T18:22:32Z,business finance
learn the foundations of stocks and options,Pago,50,80,18,63,beginner level,7.5,2016-08-11T21:18:34Z,business finance
forex trading masterclass  learn to trade better,Pago,200,152,7,30,all levels,3.0,2016-10-09T21:19:54Z,business finance
introduction to accounting  analyzing financial statements,Pago,60,37,15,12,intermediate level,1.0,2016-12-13T21:12:10Z,business finance
credit risk analysis,Pago,20,194,24,19,intermediate level,3.5,2016-01-28T22:09:01Z,business finance
fund flow analysis for ca / cfa / cpa exams,Pago,25,1184,2,7,intermediate level,1.5,2014-11-28T11:43:27Z,business finance
python for trading & investing,Pago,95,638,25,36,all levels,5.0,2015-06-17T22:23:31Z,business finance
stocks for beginners  a guide to investing,Pago,20,64,15,14,beginner level,1.0,2015-07-17T19:16:47Z,business finance
intro to impact investing,Pago,200,44,4,12,beginner level,0.5333333333333333,2016-11-08T17:02:08Z,business finance
stock market  swing trading strategies for wall street,Pago,50,814,9,5,all levels,1.0,2015-01-09T04:22:24Z,business finance
essential options: strategies for mastering the stock market,Pago,50,211,9,27,intermediate level,5.0,2013-03-06T05:28:43Z,business finance
the day trader: learn to trade the stock market and forex,Pago,20,768,23,54,all levels,10.5,2014-08-21T17:18:12Z,business finance
introduction to the world of equity finance,Pago,20,29,9,32,all levels,2.0,2015-12-08T17:12:06Z,business finance
stock technical analysis with excel,Pago,50,156,16,41,all levels,7.0,2016-04-28T18:22:49Z,business finance
beginners forex strategy,No Pago,0,2144,47,20,beginner level,1.0,2016-03-18T15:07:45Z,business finance
mortgage backed securities,Pago,50,376,29,21,all levels,3.5,2014-03-13T12:47:09Z,business finance
the complete financial model builder coursebuild 7 models,Pago,75,214,20,88,all levels,9.0,2015-03-19T19:00:23Z,business finance
fundamental financial math,Pago,50,406,13,15,all levels,2.5,2014-03-04T19:36:43Z,business finance
equity swaps,Pago,50,394,25,18,all levels,3.0,2014-03-13T22:12:01Z,business finance
proven methods in trading candlestick patterns,Pago,75,438,10,22,all levels,1.5,2016-02-12T23:44:27Z,business finance
read financial statements as a stock investor,Pago,20,56,8,18,beginner level,2.0,2015-07-10T19:32:16Z,business finance
investing: how to fix hidden flaws inside your portfolio,Pago,195,58,8,14,all levels,1.0,2015-12-03T02:30:13Z,business finance
certificate program in financial accounting,Pago,50,1047,3,20,all levels,4.5,2014-04-24T10:56:31Z,business finance
trading biotech stocks  understanding the healthcare sector,Pago,55,166,17,16,all levels,1.5,2015-04-24T21:22:27Z,business finance
indian contract act 1872: must for all finance professionals,Pago,20,605,3,14,all levels,1.0,2016-05-20T17:19:02Z,business finance
fundraising success: the art & science of major gifts,Pago,50,38,9,25,intermediate level,2.5,2016-05-27T17:16:58Z,business finance
smart trading techniques for safe & consistent weekly result,Pago,100,46,11,24,intermediate level,2.5,2016-05-24T04:57:49Z,business finance
technical trading and investing made easy,Pago,40,217,7,27,intermediate level,1.5,2014-12-24T22:46:08Z,business finance
budgeting for business,Pago,40,78,22,25,all levels,2.5,2016-01-11T20:46:47Z,business finance
complete guide to business loans,Pago,30,35,4,35,beginner level,1.5,2015-12-04T05:11:46Z,business finance
hot trading investing strategy: etf and futures,Pago,50,80,10,13,all levels,2.5,2014-12-08T07:07:22Z,business finance
financial management  a complete study,Pago,190,1941,128,527,all levels,71.5,2014-12-22T16:57:30Z,business finance
mql4 programming for traders: build robust trading robots!,Pago,195,1367,33,74,all levels,7.0,2016-02-22T00:31:08Z,business finance
ultimate stock market investing: learn how to value stocks,Pago,50,1519,40,46,all levels,3.5,2015-11-03T00:09:31Z,business finance
collection of advanced options concepts for options traders,Pago,40,2025,34,9,expert level,1.0,2015-04-13T23:02:21Z,business finance
no bull investing: investing 101 for financial freedom,Pago,100,1213,12,25,beginner level,6.5,2017-03-13T22:53:07Z,business finance
financial modeling  build your own 3 statement projection,Pago,20,1092,48,13,beginner level,1.0,2016-07-05T20:58:26Z,business finance
small business owners: drive a productive business and grow,Pago,20,5099,2,15,beginner level,3.0,2015-01-20T21:39:42Z,business finance
successful day trading with fibonacci,Pago,200,869,135,11,all levels,2.0,2015-08-31T19:54:34Z,business finance
short straddles  exploit earnings option volatility crush,Pago,60,59,8,7,expert level,0.5833333333333334,2017-05-24T14:45:31Z,business finance
bitcoin for beginners: your quick start guide to bitcoin,No Pago,0,10670,444,15,all levels,1.0,2016-03-03T21:03:33Z,business finance
technical analysis 101: ten primary candlestick reversals,Pago,95,1741,85,84,all levels,7.0,2014-10-05T16:09:30Z,business finance
financial analysis:  a recipe for success,No Pago,0,19614,635,14,all levels,1.5,2014-04-23T15:10:52Z,business finance
basics of fixed income valuation cfa level i 2017 prep,Pago,20,4,0,14,beginner level,3.5,2017-01-28T16:47:51Z,business finance
intro to financial statement audits,Pago,50,1,0,9,intermediate level,1.5,2017-06-29T18:09:01Z,business finance
how to get growing passive income from the fortune 500!,Pago,25,4,0,12,all levels,1.0,2017-01-19T16:07:18Z,business finance
managing budgets in the public and non profit sector,Pago,95,4,0,20,all levels,2.0,2017-06-22T20:28:25Z,business finance
system of asset management for professionals (samp),Pago,50,8,1,8,expert level,1.0,2015-09-25T21:59:24Z,business finance
how to invest in forex trading & add an additional income,Pago,50,8,2,14,all levels,2.0,2015-11-21T20:47:58Z,business finance
tax made simple for limited company owners and contractors,Pago,50,11,0,57,all levels,3.0,2015-02-18T11:50:46Z,business finance
introduction to the 8 pillars for accountants,Pago,20,18,0,33,beginner level,0.6166666666666667,2014-08-16T17:37:15Z,business finance
fx trading for beginners,Pago,20,16,0,22,all levels,1.5,2013-12-01T04:10:23Z,business finance
write a successful business grant proposal,Pago,20,6,0,23,beginner level,2.5,2016-07-10T17:11:15Z,business finance
a guide to trade binary options like an expert,Pago,55,4,0,21,all levels,1.0,2016-07-18T21:48:10Z,business finance
ratio analysis for bankers and credit analysts,Pago,20,1,0,13,beginner level,3.0,2017-04-12T16:55:26Z,business finance
numbers for the  business plan,Pago,20,210,1,12,all levels,1.5,2014-09-22T05:12:53Z,business finance
dash crypto currency technical and trading overview bootcamp,Pago,20,4,1,14,all levels,1.0,2017-06-19T21:59:42Z,business finance
1  concepts of statistics for beginners step by step,Pago,200,273,4,15,beginner level,0.5166666666666666,2015-08-30T22:48:34Z,business finance
4 ordinary simple annuities: the basics,Pago,20,237,1,17,all levels,1.5,2014-01-31T22:27:11Z,business finance
الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,No Pago,0,368,3,69,all levels,20.5,2017-04-25T15:02:33Z,business finance
financial risk manager (frm) certification: level ii,Pago,50,86,7,87,all levels,47.0,2013-07-24T03:18:38Z,business finance
level 1 2014 cfa® program – corporate finance,Pago,40,204,1,18,all levels,3.0,2014-06-21T05:43:33Z,business finance
3 compound interest ,Pago,20,570,2,21,all levels,2.0,2014-02-11T18:06:18Z,business finance
8 amortization schedules,Pago,20,225,1,5,all levels,1.0,2014-03-19T18:30:55Z,business finance
finance fundamentals for non finance leaders,Pago,20,37,7,15,all levels,1.0,2015-08-04T21:56:58Z,business finance
strategy layout and backtesting,Pago,200,36,2,24,expert level,4.0,2016-09-21T19:36:22Z,business finance
easy forex and futures trading,Pago,100,218,5,66,all levels,14.5,2013-12-31T01:22:44Z,business finance
finanzas y análisis financiero: manejo seguro de negocios,Pago,20,50,18,13,beginner level,1.5,2014-12-16T03:10:02Z,business finance
aprende a hacer paper trading (simulación) con ninja trader,Pago,25,148,3,15,beginner level,1.5,2013-11-15T17:53:03Z,business finance
trading mit kleinen konten  grundlagen die du kennen musst,Pago,80,74,4,20,beginner level,3.5,2017-03-29T00:06:21Z,business finance
entiende la contabilidad y consigue un aumento de salario,Pago,20,260,18,17,beginner level,1.5,2015-09-23T15:25:09Z,business finance
trade for profit: findtrade stocks successfully arabic عربي,Pago,95,299,5,65,all levels,2.5,2015-11-12T00:51:16Z,business finance
trading forex   l'analyse des volumes,Pago,70,4,3,13,all levels,2.0,2017-06-29T21:32:21Z,business finance
disminuye deudas en tu hogar en menos de 30 días,Pago,20,65,3,15,beginner level,1.5,2015-05-19T22:25:23Z,business finance
cpa 10 completo,Pago,25,101,25,18,all levels,5.0,2016-08-10T23:07:28Z,business finance
trading intradiario basado en precio y volumen,Pago,40,92,15,19,intermediate level,1.5,2015-02-18T23:28:01Z,business finance
aprenda cálculo financeiro de forma simples,Pago,20,76,14,21,all levels,2.0,2016-06-02T18:09:38Z,business finance
wie funktionieren bitcoin? ein einführungskurs,Pago,20,14,4,14,beginner level,0.6166666666666667,2017-05-10T23:37:44Z,business finance
estruturação financeira,Pago,45,18,3,18,all levels,3.5,2017-05-08T02:40:04Z,business finance
five steps to becoming a winner in stock investing,Pago,20,21,1,28,all levels,3.0,2015-11-06T19:05:01Z,business finance
financial accounting plus excel and sap crash course,Pago,20,18,2,11,beginner level,1.0,2016-05-23T17:03:43Z,business finance
introduction to financial consolidation under ifrs,Pago,25,21,3,8,all levels,1.5,2016-12-05T14:18:39Z,business finance
how to read a profit & loss account and balance sheet,Pago,20,49,10,13,all levels,2.0,2014-09-22T04:05:52Z,business finance
learn bookkeeping from scratch,Pago,20,168,2,21,all levels,3.0,2014-11-05T21:43:45Z,business finance
acca ma1 management information,Pago,50,16,1,48,beginner level,3.5,2015-08-24T23:33:21Z,business finance
introduction to bitcoin for beginners,Pago,20,2,1,7,beginner level,0.5666666666666667,2017-04-28T00:03:47Z,business finance
stock trading: ultimate guide to swing trading stocks,Pago,200,336,6,13,all levels,0.6833333333333333,2016-10-25T16:11:24Z,business finance
bookkeeping systems,Pago,20,20,1,9,all levels,1.0,2014-09-22T05:16:06Z,business finance
precious metal equities,Pago,20,28,1,8,all levels,1.0,2013-05-26T14:14:33Z,business finance
start now: a rescue plan for retirement late savers,Pago,150,11,1,15,all levels,0.65,2016-11-19T03:30:03Z,business finance
eu funding: module 2  introduction to horizon 2020,Pago,20,11,1,6,intermediate level,1.0,2015-05-20T00:00:42Z,business finance
how i make money writing about stocks online,Pago,195,360,24,12,beginner level,2.5,2015-12-18T02:55:11Z,business finance
tradeonomics  four steps to mastering economic indicators,Pago,20,1189,13,41,all levels,4.0,2016-04-01T15:56:38Z,business finance
improve your financial literacy,No Pago,0,9995,96,10,all levels,2.0,2014-02-10T03:50:00Z,business finance
forex trading : power of moving averages,Pago,200,100,24,33,all levels,4.0,2017-01-02T15:18:21Z,business finance
demystifying your personal tax return,No Pago,0,3426,27,14,beginner level,1.0,2015-11-25T18:02:44Z,business finance
samuel and co trading  stock & forex trading,Pago,50,592,109,24,all levels,5.5,2014-02-10T18:12:06Z,business finance
accounting department's tips & tricks  beginner to advanced,Pago,95,1222,14,61,all levels,6.0,2015-10-07T17:25:18Z,business finance
certificate program in management accounting,Pago,50,1532,7,24,all levels,6.0,2014-04-24T09:48:19Z,business finance
how i trade forex successfully,No Pago,0,5768,109,12,all levels,1.5,2015-11-13T17:28:16Z,business finance
professional trading with institutional supply & demand,Pago,200,343,84,37,all levels,5.5,2014-11-24T10:19:35Z,business finance
master calendar spreads with this live trade on gold (gld),Pago,60,540,44,6,expert level,1.0,2013-03-02T14:03:59Z,business finance
accounting 101: guide to business accounting,Pago,50,2031,15,29,beginner level,14.5,2014-04-21T16:23:37Z,business finance
an introduction to financial markets on wall street,Pago,30,7,1,29,all levels,2.0,2017-04-28T00:08:38Z,business finance
win 90% of trades; quantitative investments models in excel,Pago,200,4,1,16,beginner level,1.5,2017-06-28T15:09:21Z,business finance
the forex pivot points trading strategy,Pago,20,21,2,12,all levels,2.0,2017-03-22T22:57:34Z,business finance
your business by the numbers,Pago,25,29,2,42,all levels,3.0,2013-09-26T14:16:35Z,business finance
forex  trade gartley with precision  complete strategy,Pago,20,50,1,23,all levels,1.5,2016-07-29T16:49:37Z,business finance
bitcoin & ethereum course (2 course bundle),Pago,200,1,0,52,all levels,2.5,2017-07-05T19:06:26Z,business finance
create trading robot without coding skills!,Pago,145,5,0,13,all levels,1.0,2017-06-16T05:29:13Z,business finance
accounting and the triple bottom line,Pago,30,6,2,19,intermediate level,0.55,2015-07-10T00:16:42Z,business finance
mql5  beginner to expert,Pago,45,16,1,16,beginner level,1.5,2017-04-06T21:39:23Z,business finance
how to be a high performance insurance broker part 2,Pago,40,70,3,15,all levels,2.0,2014-04-06T16:50:18Z,business finance
cfa level i workshop 5: corp finance quants ii & derivative,Pago,20,110,1,5,all levels,1.0,2013-08-12T13:54:47Z,business finance
xero bookkeeping course & certification by accounting firm,Pago,20,7,3,15,beginner level,2.0,2017-02-13T23:21:49Z,business finance
trading news using binary options,Pago,145,1186,16,22,all levels,1.5,2016-05-11T18:15:50Z,business finance
trading trends in any market,Pago,30,632,49,22,all levels,2.0,2015-10-04T18:43:16Z,business finance
financial statements analysis: learn to invest like a pro!,Pago,50,1237,54,35,beginner level,2.5,2016-02-04T17:03:14Z,business finance
contango vxx  etf options trading  double your investment,Pago,200,513,20,20,all levels,1.0,2016-10-06T15:10:38Z,business finance
mergers and acquisitions m&a essentials you need to know,Pago,95,4103,19,15,beginner level,1.0,2013-11-13T11:08:51Z,business finance
trading market map,Pago,45,1489,32,27,all levels,3.5,2015-07-01T16:25:45Z,business finance
how to confidently join the bitcoin revolution,Pago,45,547,98,53,beginner level,7.0,2016-01-14T23:03:31Z,business finance
high probability trading across any market: stocks & forex,Pago,95,353,27,105,all levels,18.5,2016-12-01T17:36:07Z,business finance
option trading for rookies: make & manage profitable trades,Pago,95,507,19,59,all levels,2.0,2016-09-02T22:19:00Z,business finance
your first successful forex trades  with case studies,Pago,200,1079,34,16,all levels,2.5,2015-05-26T20:48:48Z,business finance
mca accountancy and financial management paper mcs 35 ignou,Pago,180,3667,4,460,all levels,43.5,2014-12-06T16:34:03Z,business finance
highfrequency trading #1: basics history & strategies,Pago,50,2222,24,11,all levels,0.6,2015-09-28T18:51:08Z,business finance
financial accounting  the ultimate beginner course,Pago,100,9,2,101,beginner level,10.0,2017-04-06T00:39:12Z,business finance
level 1 2014 cfa® program – derivatives,Pago,40,225,2,17,all levels,2.5,2014-09-03T07:58:05Z,business finance
the complete investing guide: how to beat wall street,Pago,50,13,3,25,all levels,5.5,2016-06-14T19:11:45Z,business finance
bitcoins  past present future,Pago,20,373,3,14,beginner level,1.5,2014-04-23T02:27:31Z,business finance
learn accounting by specific examples  part 1,Pago,50,306,0,5,all levels,0.6333333333333333,2014-11-28T05:56:37Z,business finance
forex: presentation and  analysis (fundamental & technical),Pago,50,14,3,22,beginner level,1.5,2016-01-16T02:52:22Z,business finance
yearend quickbooks procedures,Pago,20,51,2,10,beginner level,2.0,2015-02-19T22:08:53Z,business finance
price action gap trading strategies,Pago,20,13,2,5,intermediate level,1.0,2016-12-31T02:59:33Z,business finance
how to start a successful career in finance?,No Pago,0,1318,7,27,all levels,2.0,2016-08-24T18:29:34Z,business finance
level 1 2014 cfa® program – equity investments,Pago,40,347,0,24,all levels,4.5,2015-01-30T08:19:51Z,business finance
wealth management,Pago,30,274,1,21,all levels,3.5,2014-12-17T14:24:15Z,business finance
basics of private equity,Pago,60,9,2,6,intermediate level,0.6666666666666666,2017-05-09T22:19:30Z,business finance
curso completo del mercado forex,Pago,200,359,86,50,all levels,5.5,2015-11-18T00:08:44Z,business finance
como investir em ações para iniciantes,No Pago,0,6024,890,18,all levels,1.0,2014-04-11T22:03:10Z,business finance
robots de forex: espere ganar 175%pa! incluye robot de fx! ,Pago,130,315,49,41,all levels,5.0,2016-01-22T18:47:07Z,business finance
６時間でインターバンク市場を攻略！最短距離でトレード基礎力,Pago,35,280,40,54,all levels,4.0,2015-11-10T00:22:05Z,business finance
matemática financeira de um jeito fácil,Pago,95,401,67,20,all levels,1.5,2013-07-23T20:45:33Z,business finance
ビットコイン生態系｜既存通貨が主役をやめる日,Pago,20,701,55,16,beginner level,1.5,2014-06-23T02:24:31Z,business finance
trading forex  trader avec les figures harmoniques,Pago,90,57,11,23,beginner level,2.0,2017-03-31T22:44:53Z,business finance
введение в финансовую инженерию,Pago,50,205,20,20,beginner level,5.0,2016-11-20T22:34:45Z,business finance
aprenda a investir no tesouro direto passo a passo,Pago,35,62,10,19,all levels,1.0,2017-04-25T07:06:14Z,business finance
資産運用の基礎を学ぶファイナンス入門,Pago,20,114,13,52,beginner level,4.0,2016-07-07T18:16:41Z,business finance
aprende a invertir y deja que tu dinero trabaje para ti,Pago,145,789,68,95,all levels,14.0,2014-03-03T09:52:27Z,business finance
buchführung lernen leicht gemacht,Pago,40,446,39,70,beginner level,5.0,2016-06-13T19:07:19Z,business finance
day trading: high roi day trading ,Pago,150,17,2,51,intermediate level,6.5,2015-07-29T19:08:33Z,business finance
flow management and forecasting,Pago,20,16,2,10,all levels,1.0,2014-09-22T04:57:47Z,business finance
an introduction to management of portfolios (mop),Pago,20,117,15,6,beginner level,1.5,2014-03-06T09:12:15Z,business finance
cfa level i workshop 1: ethics and quantitative methods,Pago,20,147,4,5,all levels,1.0,2013-08-12T13:21:26Z,business finance
accounting basics 101 for understanding business,Pago,20,7,2,18,all levels,1.0,2016-01-07T17:48:25Z,business finance
mortgage acceleration,Pago,20,247,2,17,all levels,1.5,2015-08-21T18:36:25Z,business finance
stock market for beginners learn to trade,Pago,35,143,15,42,all levels,3.5,2013-10-03T17:44:22Z,business finance
cfa corporate finance level 1 (part 1),Pago,180,621,1,107,all levels,14.5,2014-12-06T07:44:46Z,business finance
trading tips from hedge fund manager,Pago,50,6,2,32,all levels,1.0,2015-07-22T20:56:34Z,business finance
effective debt collection strategies,Pago,40,5,2,16,intermediate level,1.5,2015-11-30T22:38:49Z,business finance
ias 1presentation of financial statements ,No Pago,0,2674,81,8,all levels,1.0,2014-10-03T12:31:06Z,business finance
stock trading strategies using a dart,Pago,20,227,3,5,all levels,1.0,2015-05-26T17:15:13Z,business finance
capital structuring techiques for ca / cfa / cpa exams,Pago,125,4480,12,50,intermediate level,7.0,2014-12-05T09:23:16Z,business finance
the complete guide to forex trading,Pago,20,1329,12,33,all levels,5.0,2017-02-05T16:14:41Z,business finance
learn how to trade binary options professionally,No Pago,0,5144,169,7,all levels,1.0,2017-02-03T22:15:55Z,business finance
learn how to start small and make it big in smallcap stocks,Pago,50,2635,13,29,beginner level,2.0,2016-02-08T16:30:15Z,business finance
trading strategies with common sense technical analysis,Pago,75,1750,71,29,all levels,3.0,2015-07-19T17:41:41Z,business finance
startup business: how to raise seed capital,Pago,95,3360,12,34,all levels,3.0,2015-03-15T20:29:17Z,business finance
business economics  basics (college level),Pago,50,3425,10,50,all levels,4.0,2015-09-16T18:29:12Z,business finance
technical analysis 101: master the basics of trading,Pago,95,2688,61,50,all levels,2.0,2015-05-13T22:54:25Z,business finance
investing in stocks? master the art of covered calls selling,Pago,80,1095,17,35,all levels,3.0,2016-07-28T00:32:48Z,business finance
how to trade binary options effectively – all levels,Pago,195,1680,39,17,all levels,1.0,2016-01-27T17:51:25Z,business finance
stock market: the zero risk way of investing,Pago,25,2046,14,8,beginner level,0.6333333333333333,2016-03-18T15:51:49Z,business finance
forex trading using professional indicators by top traders,Pago,200,1699,40,28,all levels,3.5,2015-07-07T20:37:59Z,business finance
corporate finance 101: equity valuation,Pago,50,1071,14,50,all levels,6.0,2016-03-29T19:40:05Z,business finance
trading strategies: find the trading strategy that fits you,Pago,20,1037,3,12,all levels,2.0,2015-12-29T17:15:32Z,business finance
forex trading  learn an effective forex trading strategy,Pago,95,223,34,16,all levels,1.5,2016-12-14T22:45:02Z,business finance
navigate the 10k and other financial reports,Pago,40,653,55,20,all levels,2.5,2014-11-08T18:50:53Z,business finance
from 0 to 1: investments and portfolio theory,Pago,50,230,0,22,beginner level,4.5,2017-05-01T23:42:52Z,business finance
bitcoin  the complete guide,Pago,20,2281,12,24,all levels,5.5,2014-07-04T00:45:03Z,business finance
professional trader's mindset  complete forex course,Pago,50,4702,17,6,all levels,1.0,2013-06-07T17:07:48Z,business finance
bitcoin peer investing: how to generate double digit returns,Pago,25,366,45,41,all levels,2.5,2016-01-24T23:09:17Z,business finance
forex breakout profits: the definitive guide,Pago,25,521,60,27,all levels,2.5,2014-11-30T19:52:37Z,business finance
learn to trade with fibonacci tools,Pago,30,252,45,30,intermediate level,4.0,2016-08-17T20:24:38Z,business finance
investing internationally into real estate stocks and bonds,Pago,200,1101,14,37,all levels,2.0,2016-01-27T18:40:25Z,business finance
from 0 to 1: bond theory and valuation,Pago,50,223,2,29,beginner level,4.0,2017-05-02T05:53:56Z,business finance
stock market mastery,Pago,20,135,2,25,all levels,7.5,2014-06-08T14:46:02Z,business finance
uk self assessment tax return filing online,Pago,20,23,7,6,all levels,0.4666666666666667,2015-12-07T18:36:33Z,business finance
introduction to financial statements,Pago,40,112,1,14,beginner level,1.5,2015-08-16T22:26:02Z,business finance
ias 8accounting policies changes in accounting estimates,No Pago,0,2122,30,15,all levels,2.5,2014-10-03T12:29:41Z,business finance
cfa® level 1 2014 – financial reporting and analysis,Pago,50,152,2,102,all levels,10.0,2015-02-26T08:48:32Z,business finance
investment banking operations : securities trade life cycle,Pago,30,267,9,10,all levels,2.0,2015-01-02T10:18:52Z,business finance
